StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_14_TEXT,Q3,Q4,Q5,Q6_1,Q7,Q8,Q9,Q9_2_TEXT,Q10,Q11,Q12_1,Q13,Q14,Q15,Q15_5_TEXT,Q16,Q17,Q18_1,Q19,Q20,Q21,Q21_5_TEXT,Q22,Q23,Q23_33_TEXT,Q24,Q24_1_TEXT,Q25,Q26
4/26/2022 7:41,4/26/2022 7:45,IP Address,174.209.233.172,100,254,TRUE,4/26/2022 7:45,R_2dfHTNEKMMHrcdK,,,,,38.5774,-90.6709,anonymous,EN,Freshman,"College of Arts and Science (includes the School of Music and Truman School of Public Affairs),School of Journalism",,Maneater,Since August 2021,Staff reporter ,7,"Pitch meetings,Collaboration,Leadership (from section editors),Access to leadership opportunities,Access to trainings/workshops,Communication,Networking,Community,Distribution Day","Editing process,Visuals (graphics, photo, multimedia),Website",Yes,,,,,,,,,,,,,,,,,"Adobe Creative Suite,Audio recording and editing,Communication,Editing,How to pitch a story,Networking,Planning and preparation,Professionalism,Receptive to feedback,Resume building,Time management,Video production,Video recording and editing",,No,,Anna Colletto and Ellie Lin were great editors and very helpful throughout the whole school year! ,
4/26/2022 7:56,4/26/2022 7:59,IP Address,172.58.136.92,100,170,TRUE,4/26/2022 7:59,R_2sbe80rE3tRtvit,,,,,38.5753,-90.2651,anonymous,EN,Junior,School of Journalism,,KCOU,,,,,,,,,,,,,,,3 years,Memeber,6,"Editing process,Department meetings,Leadership (from Directors),Leadership (from General Manager),Access to leadership opportunities,Access to trainings/workshops,Communication,Slack,Approachability of exec board","Collaboration within departments,Collaboration across departments",Yes,,Made me feel like I’m doing something I care about and enjoy to help further my career while also meeting a bunch of awesome people ,"Accountability,Audio recording and editing,Collaboration,Communication,Leadership,Live radio production,Networking,Planning and preparation,Professionalism,Resume building,Self-assessment,Time management,FCC policy",,No,,,
4/26/2022 8:06,4/26/2022 8:09,IP Address,161.130.189.209,100,205,TRUE,4/26/2022 8:09,R_qDFR0TCmkpFLotz,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,Maneater,Two semesters ,Writer and editor ,6,"Pitch meetings,Visuals (graphics, photo, multimedia),Collaboration,Leadership (from section editors),Access to leadership opportunities,Community,Slack/Google Drive/AirTable,Budget meetings","Editing process,Website,Communication,Distribution Day",Yes,,,,,,,,,,,,,,,,It has helped me grow as a journalist and meet like minded students. ,"Accountability,AP style,Collaboration,Communication,Editing,How to conduct an interview,How to pitch a story,Networking,Receptive to feedback,Reporting/news gathering,Time management",,No,,Abby Stetina is the best!!!,
4/26/2022 9:06,4/26/2022 9:09,IP Address,161.130.189.200,100,169,TRUE,4/26/2022 9:09,R_2q3lgVDIIGKW4CU,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,Maneater,2021-22 school year,Opinions columnist and graphics assistant editor,8,"Pitch meetings,Communication,Budget meetings","Visuals (graphics, photo, multimedia),Leadership (from section editors),Website,Slack/Google Drive/AirTable,Distribution Day",Yes,,,,,,,,,,,,,,,,good experience for later jobs,"Editing,How to conduct an interview,How to pitch a story",,No,,Ava Horton!!,
4/26/2022 9:30,4/26/2022 9:32,IP Address,108.169.208.65,100,150,TRUE,4/26/2022 9:32,R_1H7c03ETJFrSdsb,,,,,38.9361,-92.3056,anonymous,EN,Junior,School of Journalism,,KCOU,,,,,,,,,,,,,,,3rd year,"Member, Broadcaster",10,"Collaboration within departments,Communication,Slack,Approachability of exec board","Department meetings,Access to trainings/workshops",Yes,,More experience for my resume,"Communication,Editing,Live radio production,Networking,Reporting/news gathering,Social media etiquette",,,,,
4/26/2022 9:50,4/26/2022 9:54,IP Address,172.225.216.98,100,239,TRUE,4/26/2022 9:54,R_Zkju0k7pRjluiqJ,,,,,41.8764,-87.6133,anonymous,EN,Freshman,School of Journalism,,Maneater,since fall 2021,production team member,4,"Access to leadership opportunities,Access to trainings/workshops,Slack/Google Drive/AirTable","Collaboration,Onboarding process,Communication,Networking,Community,Distribution Day",Yes,,,,,,,,,,,,,,,,No,"Adobe Creative Suite,Receptive to feedback",,No,,Campbell Biemiller,
4/26/2022 9:53,4/26/2022 9:58,IP Address,161.130.189.229,100,298,TRUE,4/26/2022 9:58,R_3J7P8rr6YPhy7l6,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,Maneater,A full semester,News reporter,8,"Pitch meetings,Leadership (from section editors),Slack/Google Drive/AirTable","Collaboration,Access to trainings/workshops",No (Why not?),"I might, but I probably won't. I joined in the spring semester so there weren't any trainings to show us how to do our job correctly, so I felt kind of isolated and unable to ask for help (because everyone else already knew what they were doing). I may look at other publications and reassess if I want to return in the fall. I really liked the people and the relationships here. ",,,,,,,,,,,,,,,No,"Accountability,Breaking news,Communication,How to conduct an interview,How to pitch a story,Inclusive reporting,Reporting/news gathering,Resume building",,Yes (Where/What position?),I may be working as a Director's Assistant at my home town's local tourism commission this summer. ,Emmet Jamieson and Namratha Prasad were really good leaders this semester. I appreciate their leadership and hard work. ,"I did enjoy my time here despite feeling slightly out of place. It's definitely a great environment, just maybe not the best fit for me. "
4/26/2022 9:55,4/26/2022 9:58,IP Address,161.130.190.29,100,227,TRUE,4/26/2022 9:58,R_1dNqRszhAnGjiuo,,,,,38.9361,-92.3056,anonymous,EN,Sophomore,"College of Arts and Science (includes the School of Music and Truman School of Public Affairs),School of Journalism",,Maneater,3 semesters,Copy editor,7,"Editing process,Visuals (graphics, photo, multimedia),Leadership (from section editors),Access to leadership opportunities,Access to trainings/workshops,Website,Slack/Google Drive/AirTable",,No (Why not?),"I just feel like it is time for me to move on to other things, especially as I work with the Missourian and take higher level classes. Nothing personal:))",,,,,,,,,,,,,,,"Not only have I gotten to work on my professional skills and learn more about the process, but I have gotten to meet so many great people and read their excellent stories. It's a level of involvement I have valued a lot.","Accountability,AP style,Communication,Editing,How to conduct an interview,Inclusive reporting,Leadership,Professionalism,Receptive to feedback,Reporting/news gathering,Resume building,Time management",,No,,,
4/26/2022 10:02,4/26/2022 10:08,IP Address,161.130.189.211,100,337,TRUE,4/26/2022 10:08,R_1JKJ6I5XBLkzZGb,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,KCOU,,,,,,,,,,,,,,,All year,Entry-Level,9,"Editing process,Department meetings,Leadership (from Directors),Leadership (from General Manager),Access to leadership opportunities,Access to trainings/workshops,Onboarding process,Communication,Approachability of exec board","Collaboration within departments,Collaboration across departments,Slack",Yes,,It has allowed me to do something I love right from the jump of coming to college.,"Audio recording and editing,Breaking news,Collaboration,Communication,Editing,Leadership,Live radio production,Networking,Planning and preparation,Professionalism,Receptive to feedback,Reporting/news gathering,Resume building,Self-assessment,Social media etiquette,Time management,FCC policy",,Yes (Where/What position?),Zimmerman Communications,"Jack McGrath, Aidan O'Connor, Grant Salsman, Ben Greenberger",
4/26/2022 11:28,4/26/2022 11:32,IP Address,161.130.189.245,100,261,TRUE,4/26/2022 11:32,R_3nko56I2zkV35y2,,,,,38.9361,-92.3056,anonymous,EN,Junior,"College of Arts and Science (includes the School of Music and Truman School of Public Affairs),School of Journalism",,Maneater,Two years,"Reporter for one year, Editor for one year",7,"Pitch meetings,Leadership (from section editors),Access to leadership opportunities,Access to trainings/workshops,Onboarding process,Networking,Community,Slack/Google Drive/AirTable,Distribution Day,Budget meetings","Editing process,Visuals (graphics, photo, multimedia),Collaboration,Leadership (from executive editors),Website,Communication",No (Why not?),Moving on to bigger and better things (no offense lol),,,,,,,,,,,,,,,I've met and learned from so many fellow student journalists. This was where I first dipped my toes in the water in terms of writing and reporting. I'm glad I could practice here before moving on to the big leagues. ,"AP style,Breaking news,Collaboration,Communication,Editing,How to conduct an interview,How to pitch a story,Inclusive reporting,Leadership,Networking,Planning and preparation,Professionalism,Receptive to feedback,Reporting/news gathering,Resume building,Self-assessment,Social media etiquette,Time management",,Yes (Where/What position?),"The Brussels Times in Brussels, Belgium. I'll be a visual editor for their social media content",My two assistant editors Ever Cole and Bri Davis made my last year extra special :),
4/26/2022 12:19,4/26/2022 12:28,IP Address,174.209.225.113,100,512,TRUE,4/26/2022 12:28,R_1LjO7BVo1BUidGX,,,,,38.617,-90.2566,anonymous,EN,Sophomore,School of Journalism,,Maneater,2 years,"Student politics reporter, news editor",9,"Pitch meetings,Leadership (from section editors),Leadership (from executive editors),Community,Slack/Google Drive/AirTable,Budget meetings","Editing process,Visuals (graphics, photo, multimedia),Collaboration,Access to leadership opportunities,Access to trainings/workshops,Website,Onboarding process,Communication,Networking,Distribution Day",No (Why not?),I’m tired lol,,,,,,,,,,,,,,,I learned a lot about journalism. I’m great fun for all the opportunities the Maneater gave me.,"Accountability,Breaking news,Collaboration,Communication,Editing,How to conduct an interview,How to pitch a story,Inclusive reporting,Leadership,Planning and preparation,Professionalism,Receptive to feedback,Reporting/news gathering,Resume building,Time management",,Yes (Where/What position?),"Somewhere abroad, intern ",Sophie Chappell,Please make the editing process shorter. We definitely do not need second reads.
4/26/2022 13:18,4/26/2022 13:20,IP Address,161.130.189.255,100,156,TRUE,4/26/2022 13:20,R_3lzFmIESJ1CWtXV,,,,,38.9361,-92.3056,anonymous,EN,Sophomore,School of Journalism,,Maneater,,,10,"Access to leadership opportunities,Slack/Google Drive/AirTable","Editing process,Visuals (graphics, photo, multimedia),Leadership (from section editors),Leadership (from executive editors),Onboarding process,Distribution Day,Budget meetings",Yes,,,,,,,,,,,,,,,,,"AP style,Communication,Editing,Leadership,Networking,Planning and preparation,Professionalism,Receptive to feedback,Resume building",,Yes (Where/What position?),,Anna and Cam are fantastic and are gonna do an awesome job next year!!,
4/26/2022 13:55,4/26/2022 13:57,IP Address,161.130.189.215,100,159,TRUE,4/26/2022 13:57,R_3RhFXZ5glkp8UPT,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,Maneater,2 semesters ,MOVE Editor,6,"Access to leadership opportunities,Access to trainings/workshops,Slack/Google Drive/AirTable,Distribution Day","Editing process,Pitch meetings,Visuals (graphics, photo, multimedia),Collaboration,Leadership (from section editors),Leadership (from executive editors),Website",,,,,,,,,,,,,,,,,It has given me the chance to work with journalism hands on during my first semesters on campus. I gained many skills through the access to hands on work.,"Accountability,AP style,Editing,How to conduct an interview,Leadership,Receptive to feedback,Reporting/news gathering",,No,,Jacob Richey,
4/19/2022 16:16,4/19/2022 16:17,IP Address,161.130.189.249,81,81,FALSE,4/26/2022 16:17,R_XAQyMk9VGJml0e5,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/26/2022 18:21,4/26/2022 18:27,IP Address,69.169.10.168,100,407,TRUE,4/26/2022 18:27,R_1mK1QYlWFpq0C0B,,,,,38.8939,-94.7067,anonymous,EN,Freshman,School of Journalism,,"Maneater,KCOU",All of freshman year,Data and News,8,"Editing process,Pitch meetings,Community,Distribution Day","Website,Slack/Google Drive/AirTable",Yes,,,,,,,,,All of Freshman year,"Producer, Podcast Host, and News Co-Host",8,Access to leadership opportunities,"Editing process,Department meetings,Collaboration within departments,Collaboration across departments,Leadership (from General Manager),Access to trainings/workshops,Approachability of exec board",Yes,,Yes,"Accountability,AP style,Communication,Editing,How to pitch a story,Leadership,Live radio production,Networking,Professionalism",,Yes (Where/What position?),"Producer, Investigative and Data Chief, and Podcast Host","Harshawn, Namratha and Emmet",
4/26/2022 21:33,4/27/2022 0:32,IP Address,172.58.56.22,100,10787,TRUE,4/27/2022 0:32,R_3dRM62xt5puZGiY,,,,,39.7388,-104.9868,anonymous,EN,Sophomore,"College of Arts and Science (includes the School of Music and Truman School of Public Affairs),School of Journalism",,Maneater,2 years now,"Reporter freshman year, cruciverbalist now",8,"Pitch meetings,Visuals (graphics, photo, multimedia),Collaboration,Leadership (from section editors),Community","Editing process,Website",Yes,,,,,,,,,,,,,,,,,"AP style,Editing,How to pitch a story,Receptive to feedback",,,,s/o Abby ,
4/27/2022 6:52,4/27/2022 7:08,IP Address,161.130.189.237,100,951,TRUE,4/27/2022 7:08,R_eExmPSsKPQiYDyF,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,Maneater,Fall and spring semester,Photographer,10,"Editing process,Pitch meetings,Visuals (graphics, photo, multimedia),Collaboration,Leadership (from section editors),Leadership (from executive editors),Access to leadership opportunities,Access to trainings/workshops,Website,Communication,Networking,Community,Slack/Google Drive/AirTable","Website,Distribution Day",No (Why not?),"I haven't fully decided yet! But I received a job opportunity recently that has left me very little time for the Maneater, so I would most likely not continue next year to avoid over-scheduling myself, and to give my spot to someone who can contribute more!",,,,,,,,,,,,,,,"It definitely brought me out of my comfort zone! I'm a considerably shy person, but it was very easy to talk to people and befriend those on staff here!!","Accountability,AP style,Collaboration,Communication,Editing,Inclusive reporting,Networking,Planning and preparation,Professionalism,Receptive to feedback,Resume building,Self-assessment,Time management",,Yes (Where/What position?),I recently became a part-time photographer with the Jefferson City News Tribune!,Shoutout to Anna Griffin and Isabella Sorice for being great editors and really fun people!,
4/26/2022 14:01,4/27/2022 7:48,IP Address,161.130.189.232,100,64063,TRUE,4/27/2022 7:48,R_3kbabxwE0he3XJs,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,Maneater,1 year,"News reporter, (and now) News Editor ",7,"Pitch meetings,Leadership (from section editors),Website,Slack/Google Drive/AirTable","Editing process,Leadership (from executive editors),Access to trainings/workshops,Communication",Yes,,,,,,,,,,,,,,,,,,,,,,
4/26/2022 4:47,4/27/2022 12:19,IP Address,161.130.189.234,100,113524,TRUE,4/27/2022 12:19,R_1DuKu6XnXWv4BtQ,,,,,38.9361,-92.3056,anonymous,EN,Freshman,"College of Arts and Science (includes the School of Music and Truman School of Public Affairs),School of Journalism",,Maneater,1 year,Multimedia Editor and incoming EIC,6,"Pitch meetings,Visuals (graphics, photo, multimedia),Leadership (from section editors),Access to leadership opportunities,Networking,Community","Editing process,Collaboration,Leadership (from executive editors),Access to trainings/workshops,Website,Onboarding process,Communication,Slack/Google Drive/AirTable,Distribution Day,Budget meetings",Yes,,,,,,,,,,,,,,,,,"Accountability,Adobe Creative Suite,AP style,Audio recording and editing,Collaboration,Communication,Editing,How to conduct an interview,How to pitch a story,Inclusive reporting,Leadership,Networking,Planning and preparation,Professionalism,Receptive to feedback,Reporting/news gathering,Resume building,Self-assessment,Time management,Video production,Video recording and editing",,Yes (Where/What position?),Digital Media Intern at Cincinnati Magazine,"Ellie Lin and Sydney Lewis both had a massive impact on my Mizzou Student Media experience, in addition to my confidence as a Journalist and leader. Both individuals empowered me to constantly strive for better, personally and professionally, and I could not be more grateful to have been granted the opportunity to learn from them. ",MSM is so slay! 
4/27/2022 15:57,4/27/2022 15:59,IP Address,161.130.189.199,100,121,TRUE,4/27/2022 15:59,R_87JCR6BvnQOyMJb,,,,,38.9361,-92.3056,anonymous,EN,Freshman,School of Journalism,,Maneater,1 year,news reporter and multimedia reporter,10,"Pitch meetings,Collaboration,Access to leadership opportunities,Communication,Community,Slack/Google Drive/AirTable","Editing process,Website",Yes,,,,,,,,,,,,,,,,given me real world journalism experience,"Adobe Creative Suite,Collaboration,Communication,Editing,How to conduct an interview,How to pitch a story,Planning and preparation,Professionalism,Receptive to feedback,Reporting/news gathering,Resume building,Video production,Video recording and editing",,No,,Ellie Lin and Anna Colletto-great multimedia editors!,
